1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
183,HI,Hawaii,S,n/a,,,,,Party Votes:,R,"35,865",,,,,,,,,,,
184,HI,Hawaii,S,S4HI00151,,Joy J,Allison,"Allison, Joy J",,CON,217,100.00%,,,"9,103",2.19%,,,,,,
185,HI,Hawaii,S,n/a,,,,,Party Votes:,CON,217,,,,,,,,,,,
186,HI,Hawaii,S,S4HI00169,,Michael A.,Kokoski,"Kokoski, Michael A.",,LIB,909,100.00%,,,"6,809",1.63%,,,,,,
187,HI,Hawaii,S,n/a,,,,,Party Votes:,LIB,909,,,,,,,,,,,
188,HI,Hawaii,S,S6HI00305,,John M. (Raghu),Giuffre,"Giuffre, John M. (Raghu)",,AMS,111,100.00%,,,"1,393",0.33%,,,,,,
189,HI,Hawaii,S,n/a,,,,,Party Votes:,AMS,111,,,,,,,,,,,
190,HI,Hawaii,S,n/a,,,,,Total State Votes:,,"226,161",,,,"416,562",,,,,,,
191,,,S,n/a,,,,,,,,,,,,,,,,,,
192,ID,Idaho,S,S8ID00027,(I),Mike,Crapo,"Crapo, Mike",,R,"119,633",100.00%,,,"449,017",66.13%,,,,,W,
193,ID,Idaho,S,n/a,,,,,Party Votes:,R,"119,633",,,,,,,,,,,
